ZTF_Name,Class,col3,col4,col5,col6,col7,Version,col9
ZTF19aceqlxc,IIn,0.057,,2459221.5,2460175.53,-954.03,ZTF19aceqlxc_20210107_P200_v3.ascii,0
ZTF19aceqlxc,IIn,0.057,,2459256.5,2460175.53,-919.03,ZTF19aceqlxc_20210211_Keck1_v1.ascii,0
ZTF19aceqjqw,Ic,0.0265,,2458789.5,2460173.51,-1384.01,ZTF19aceqjqw_20191102_P60_v2.ascii,0
ZTF19acgjpgh,SLSN-I,0.0635,,2459256.5,2460231.46,-974.96,ZTF19acgjpgh_20210211_Keck1_v1.ascii,0
ZTF19ackjjwf,Ib,0.01619,,2459107.5,2460185.46,-1077.96,ZTF19ackjjwf_20200915_Keck1_v1.ascii,0
ZTF19acfwynw,SLSN-I,0.212,,2459082.5,2460185.24,-1102.74,ZTF19acfwynw_20200821_Keck1_v1.ascii,0
ZTF19acfwynw,SLSN-I,0.212,,2459134.5,2460185.24,-1050.74,ZTF19acfwynw_20201012_Keck1_v1.ascii,0
ZTF19ackjszs,Ib,0.021,,2459262.5,2460182.56,-920.06,ZTF19ackjszs_20210217_Keck1_v1.ascii,0
ZTF19acoaiub,ILRT,0.00578,,2458821.5,2460183.31,-1361.81,ZTF19acoaiub_20191204_Keck2_v1.ascii,0
ZTF19acryurj,II,0.02203,,2458802.5,2460196.21,-1393.71,ZTF19acryurj_20191115_VLT_v2.ascii,0
ZTF19acryurj,II,0.02203,,2458802.5,2460196.21,-1393.71,ZTF19acryurj_20191115_VLT_v3.ascii,0
ZTF19acryurj,II,0.02203,,2458804.5,2460196.21,-1391.71,ZTF19acryurj_20191117_VLT_v2.ascii,0
ZTF19acryurj,II,0.02203,,2458804.5,2460196.21,-1391.71,ZTF19acryurj_20191117_VLT_v3.ascii,0
ZTF19acshkft,Ia,0.08,,2458805.5,2460195.2,-1389.7,ZTF19acshkft_20191118_Lijiang-2.4m_v1.ascii,0
ZTF19ackzvdp,SLSN-II,0.3035,,2459082.5,2460193.24,-1110.74,ZTF19ackzvdp_20200821_Keck1_v1.ascii,0
ZTF19ackzvdp,SLSN-II,0.3035,,2459257.5,2460193.24,-935.74,ZTF19ackzvdp_20210212_Keck1_v1.ascii,0
ZTF19aculczm,Ia,0.07,,2458825.5,2460202.18,-1376.68,ZTF19aculczm_20191208_NTT_v1.ascii,0
ZTF19acxlddi,Ia,0.053,,2458824.5,2460212.45,-1387.95,ZTF19acxlddi_20191207_Lijiang-2.4m_v1.ascii,0
