,ZTF_Name,SNID_Class,Class,Version
24,ZTF18abbqjds,Ia-norm,Ia,ZTF18abbqjds_20180708_P60_v1.ascii
25,ZTF18abbvsiv,Ia-norm,Ia,ZTF18abbvsiv_20180624_P60_v1.ascii
26,ZTF18abcecfi,Ia-norm,Ia,ZTF18abcecfi_20180702_P60_v1.ascii
27,ZTF18abcflnz,Ia-norm,Ia,ZTF18abcflnz_20180622_P60_v1.ascii
28,ZTF18abckujg,Ia-norm,Ia,ZTF18abckujg_20180627_P60_v1.ascii
29,ZTF18abckujq,Ia-norm,Ia,ZTF18abckujq_20180701_P60_v1.ascii
30,ZTF18abcpmwh,IIP,II,ZTF18abcpmwh_20180626_P60_v1.ascii
31,ZTF18abcpolh,Ia-norm,Ia,ZTF18abcpolh_20180627_P60_v1.ascii
32,ZTF18abcrzfz,Ia-91T,Ia-91T,ZTF18abcrzfz_20180627_P60_v1.ascii
33,ZTF18abcxyjp,Ia-norm,Ia,ZTF18abcxyjp_20180626_P60_v1.ascii
34,ZTF18abddrhd,Ia-norm,Ia,ZTF18abddrhd_20180712_P60_v2.ascii
35,ZTF18abdfaqi,Ia-norm,Ia,ZTF18abdfaqi_20180709_P60_v1.ascii
36,ZTF18abdfazk,Ia-norm,Ia,ZTF18abdfazk_20180712_P60_v2.ascii
37,ZTF18abdfydj,Ia-norm,Ia,ZTF18abdfydj_20180705_P60_v1.ascii
38,ZTF18abdiqdh,Ia-norm,Ia,ZTF18abdiqdh_20180705_P60_v2.ascii
39,ZTF18abdkimx,Ia-norm,Ia,ZTF18abdkimx_20180713_P60_v2.ascii
40,ZTF18abdrmin,Ia-norm,Ia,ZTF18abdrmin_20180726_P60_v1.ascii
41,ZTF18abeaipj,Ia-norm,Ia,ZTF18abeaipj_20180716_P60_v1.ascii
42,ZTF18abeegsl,Ia-norm,Ia,ZTF18abeegsl_20180721_P60_v1.ascii
43,ZTF18abetewu,Ia-norm,Ia,ZTF18abetewu_20180715_P60_v2.ascii
44,ZTF18abgledy,Ia-norm,Ia,ZTF18abgledy_20180721_P60_v1.ascii
45,ZTF18abgosbg,Ia-norm,Ia,ZTF18abgosbg_20180717_P60_v1.ascii
46,ZTF18abhpzig,Ia-norm,Ia,ZTF18abhpzig_20180721_P60_v1.ascii
47,ZTF18abhxidv,Ia-norm,Ia,ZTF18abhxidv_20180725_P60_v1.ascii
48,ZTF18abiinnl,Ia-norm,Ia,ZTF18abiinnl_20180725_P60_v1.ascii
49,ZTF18abjgyyr,Ia-norm,Ia,ZTF18abjgyyr_20180801_P60_v2.ascii
50,ZTF18abjkryl,IIP,II,ZTF18abjkryl_20180730_P60_v2.ascii
51,ZTF18abjovdz,IIP,II,ZTF18abjovdz_20180804_P60_v2.ascii
52,ZTF18abjtgdo,Ia-norm,Ia,ZTF18abjtgdo_20180810_P60_v2.ascii
53,ZTF18abjtger,Ia-norm,Ia,ZTF18abjtger_20180807_P60_v1.ascii
54,ZTF18abjvzxx,Ia-norm,Ia,ZTF18abjvzxx_20180802_P60_v2.ascii
55,ZTF18abjyime,Ia-norm,Ia,ZTF18abjyime_20180813_P60_v2.ascii
56,ZTF18abkhbra,Ia-norm,Ia,ZTF18abkhbra_20180802_P60_v2.ascii
57,ZTF18abktphg,Ia-norm,Ia,ZTF18abktphg_20180807_P60_v1.ascii
58,ZTF18ablmflp,Ia-norm,Ia,ZTF18ablmflp_20180805_P60_v3.ascii
59,ZTF18ablqkud,Ia-norm,Ia,ZTF18ablqkud_20180821_P60_v1.ascii
60,ZTF18ablqqqp,Ia-norm,Ia,ZTF18ablqqqp_20180820_P60_v1.ascii
61,ZTF18abltaxf,Ia-norm,Ia,ZTF18abltaxf_20180815_P60_v1.ascii
62,ZTF18abmjvpb,Ia-norm,Ia,ZTF18abmjvpb_20180824_P60_v1.ascii
63,ZTF18abmmdif,Ia-norm,Ia,ZTF18abmmdif_20180817_P60_v1.ascii
64,ZTF18abmwnov,Ia-norm,Ia,ZTF18abmwnov_20180831_P60_v1.ascii
65,ZTF18abmxahs,Ia-norm,Ia,ZTF18abmxahs_20180818_P60_v1.ascii
66,ZTF18abncdhd,Ia-norm,Ia,ZTF18abncdhd_20180820_P60_v1.ascii
67,ZTF18abntsgz,Ia-norm,Ia,ZTF18abntsgz_20180827_P60_v1.ascii
68,ZTF18abosrco,Ia-norm,Ia,ZTF18abosrco_20180907_P60_v1.ascii
69,ZTF18abotdef,Ia-norm,Ia,ZTF18abotdef_20180907_P60_v1.ascii
70,ZTF18abpaywm,Ia-norm,Ia,ZTF18abpaywm_20180830_P60_v1.ascii
71,ZTF18abpttky,Ia-norm,Ia,ZTF18abpttky_20180911_P60_v1.ascii
72,ZTF18abqdadp,Ia-norm,Ia,ZTF18abqdadp_20180830_P60_v1.ascii
73,ZTF18abrqedj,Ia-norm,Ia,ZTF18abrqedj_20180909_P60_v1.ascii
74,ZTF18abrzbum,IIP,II,ZTF18abrzbum_20180922_P60_v1.ascii
75,ZTF18abskove,Ia-norm,Ia,ZTF18abskove_20180912_P60_v1.ascii
76,ZTF18absqhza,Ia-norm,Ia,ZTF18absqhza_20180906_P60_v1.ascii
77,ZTF18absstyb,Ia-norm,Ia,ZTF18absstyb_20180909_P60_v2.ascii
78,ZTF18abssuxz,Ia-norm,Ia,ZTF18abssuxz_20180912_P60_v2.ascii
79,ZTF18abtnlik,Ia-norm,Ia,ZTF18abtnlik_20180919_P60_v1.ascii
80,ZTF18abtxvhy,Ia-norm,Ia,ZTF18abtxvhy_20180930_P60_v1.ascii
81,ZTF18abucvbf,Ia-norm,Ia,ZTF18abucvbf_20180922_P60_v1.ascii
82,ZTF18abujbio,Ia-norm,Ia,ZTF18abujbio_20180916_P60_v1.ascii
83,ZTF18abuykiu,Ia-norm,Ia,ZTF18abuykiu_20180921_P60_v1.ascii
84,ZTF18abvejbm,Ia-norm,Ia,ZTF18abvejbm_20180914_P60_v1.ascii
85,ZTF18abvlchy,Ia-91T,Ia-91T,ZTF18abvlchy_20180918_P60_v1.ascii
86,ZTF18abvsvjs,Ia-norm,Ia,ZTF18abvsvjs_20180922_P60_v1.ascii
87,ZTF18abwwfyo,Ia-norm,Ia,ZTF18abwwfyo_20180930_P60_v1.ascii
88,ZTF18abxroxl,Ia-norm,Ia,ZTF18abxroxl_20180930_P60_v1.ascii
89,ZTF18abyzksx,Ia-norm,Ia,ZTF18abyzksx_20181010_P60_v1.ascii
90,ZTF18abyzlhn,Ia-norm,Ia,ZTF18abyzlhn_20180928_P60_v1.ascii
91,ZTF18abzwdsj,Ia-norm,Ia,ZTF18abzwdsj_20181010_P60_v2.ascii
92,ZTF18acarupz,Ia-norm,Ia,ZTF18acarupz_20181119_P60_v1.ascii
93,ZTF18acbujhw,Ia-norm,Ia,ZTF18acbujhw_20181031_P60_v1.ascii
94,ZTF18acbvgqw,Ia-norm,Ia,ZTF18acbvgqw_20181117_P60_v1.ascii
95,ZTF18acbwlpj,Ia-norm,Ia,ZTF18acbwlpj_20181106_P60_v1.ascii
96,ZTF18acbxhui,Ia-norm,Ia,ZTF18acbxhui_20181107_P60_v2.ascii
97,ZTF18acbxkpa,Ia-norm,Ia,ZTF18acbxkpa_20181107_P60_v1.ascii
98,ZTF18acbxmvy,Ia-norm,Ia,ZTF18acbxmvy_20181106_P60_v1.ascii
99,ZTF18acbxrdw,Ia-norm,Ia,ZTF18acbxrdw_20181106_P60_v1.ascii
