Version,ZTF_Name,z_sntemplate,z_rlap,z_snid,z_snid_err,z_level,rank_1,sntemplate_1,rlap_1,c_snid_1,z_snid_1,z_snid_err_1,age_1,age_flag_1,rank_2,sntemplate_2,rlap_2,c_snid_2,z_snid_2,z_snid_err_2,age_2,age_flag_2,rank_3,sntemplate_3,rlap_3,c_snid_3,z_snid_3,z_snid_err_3,age_3,age_flag_3,rank_4,sntemplate_4,rlap_4,c_snid_4,z_snid_4,z_snid_err_4,age_4,age_flag_4,rank_5,sntemplate_5,rlap_5,c_snid_5,z_snid_5,z_snid_err_5,age_5,age_flag_5
ZTF19aavsahh_20190606_P60_v1.ascii,ZTF19aavsahh,sn2005hf,8.59,0.0632,0.0063,1,1,sn2005hf,8.59,Ia-norm,0.0632,0.0063,8.2,0,2,sn2001eh,6.98,Ia-91T,0.0772,0.0107,-4.9,0,5,sn2005hj,6.75,Ia-91T,0.0677,0.0087,-4.3,0,6,sn1999ee,6.61,Ia-norm,0.0852,0.0107,-7.2,0,14,sn2008ax,5.84,IIb,0.0612,0.0113,45.0,0
ZTF19aavsyhq_20190607_P60_v1.ascii,ZTF19aavsyhq,sn2006gr,13.05,0.0394,0.006,1,1,sn2006gr,13.05,Ia-norm,0.0394,0.006,-9.8,0,2,sn2003W,12.65,Ia-norm,0.0403,0.0063,-6.3,0,4,sn2005cg,12.19,Ia-norm,0.0349,0.005,-8.8,0,5,sn1997do,11.63,Ia-norm,0.0369,0.006,-7.6,0,64,sn1999ac,8.73,Ia-91T,0.0205,0.0075,-2.1,0
ZTF19aavtcjs_20190603_P60_v1.ascii,ZTF19aavtcjs,sn2003bg,11.23,0.0646,0.0043,1,1,sn2003bg,11.23,IIb,0.0646,0.0043,182.1,0,2,sn2004gk,10.39,Ic-norm,0.0654,0.0046,151.0,1,3,sn2004ao,9.95,Ib-norm,0.0639,0.0047,179.0,1,4,sn91N,9.67,Ic-norm,0.0614,0.0044,276.1,1,8,sn2004gt,8.94,Ic-norm,0.0647,0.0055,132.49,0
ZTF19aavtcjs_20190603_P60_v2.ascii,ZTF19aavtcjs,sn2004gk,10.08,0.0658,0.0049,1,1,sn2004gk,10.08,Ic-norm,0.0658,0.0049,136.0,1,4,sn2004ao,9.4,Ib-norm,0.0653,0.0059,100.0,1,5,sn91N,9.03,Ic-norm,0.0616,0.0048,276.1,1,10,sn06bc,8.26,II-norm,0.0218,0.0027,9.0,0,11,sn2004gt,8.13,Ic-norm,0.0649,0.0063,132.49,0
ZTF19aavtcjs_20190626_P200_v1.ascii,ZTF19aavtcjs,kcSB6,13.69,0.0222,0.0014,1,1,kcSB6,13.69,Gal,0.0222,0.0014,-99.9,2,2,sn2004ao,12.28,Ib-norm,0.0629,0.004,179.0,1,3,kcSB3,12.27,Gal,0.023,0.0015,-99.9,2,4,kcSB5,11.66,Gal,0.0225,0.0016,-99.9,2,6,sn96L,11.31,IIn,0.06,0.0033,58.6,0
ZTF19aavvozj_20190615_P60_v1.ascii,ZTF19aavvozj,sn08ds,8.14,0.1065,0.0113,1,1,sn08ds,8.14,Ia-norm,0.1065,0.0113,-4.93,0,2,sn99aa,7.56,Ia-norm,0.1177,0.0096,-10.49,0,3,sn1998es,7.39,Ia-91T,0.1115,0.01,-8.4,0,4,sn2007S,7.3,Ia-91T,0.1091,0.0094,-4.7,0,40,sn2010bh,4.74,Ic-BL,0.0912,0.0101,-3.5,0
ZTF19aavvozj_20190615_P60_v2.ascii,ZTF19aavvozj,sn2006gr,9.91,0.1105,0.0074,1,1,sn2006gr,9.91,Ia-norm,0.1105,0.0074,-6.9,0,6,sn1999ac,8.71,Ia-91T,0.0866,0.0063,0.4,0,7,sn1999ee,8.57,Ia-norm,0.1048,0.008,-7.2,0,11,sn2006le,7.97,Ia-norm,0.1085,0.0095,-6.8,0,12,sn06et,7.87,Ia-norm,0.0907,0.0071,3.71,0
ZTF19aavvygo_20190618_P60_v1.ascii,ZTF19aavvygo,iPTF13ajg,7.2,0.535,0.0073,0,1,iPTF13ajg,7.2,Ic-SLSN,0.535,0.0073,9.43,0,3,sn2013dg,5.3,Ic-SLSN,0.4651,0.0137,21.03,0,4,iPTF13ehe,5.28,Ic-SLSN,0.5211,0.0091,-5.11,0,5,sn2009bb,5.21,Ic-BL,0.4934,0.013,41.5,0,11,ASASSN14ae,4.41,TDE,0.6365,0.0144,73.0,1
ZTF19aavvygo_20190701_P200_v1.ascii,ZTF19aavvygo,sn1998S,9.36,0.3718,0.0039,0,1,sn1998S,9.36,IIn,0.3718,0.0039,413.5,0,3,qso,7.52,QSO,0.3626,0.0057,-100.0,2,4,sn90K,6.92,II-norm,0.4039,0.0057,136.2,1,6,PS1-10bzj,6.14,Ic-SLSN,0.5864,0.0035,15.64,0,7,sn1990I,5.84,Ib-norm,0.4146,0.0075,234.5,0
ZTF19aavvygo_20190701_P200_v2.ascii,ZTF19aavvygo,sn2002er,7.45,0.0295,0.0088,1,1,sn2002er,7.45,Ia-norm,0.0295,0.0088,32.6,0,3,sn2004et,7.38,II-norm,0.0163,0.0047,211.4,0,5,sn2005cs,7.1,II-norm,0.0149,0.0048,176.1,0,7,sn1992H,6.84,II-norm,0.0188,0.0059,140.8,0,12,sn1998S,6.4,IIn,0.0205,0.0073,58.5,0
ZTF19aavwbpc_20190630_APO_v1.ascii,ZTF19aavwbpc,sn07it,4.07,0.1326,0.0033,1,1,sn91T,5.29,Ia-91T,0.1073,0.008,-6.4,0,11,sn1995bd,4.62,Ia-91T,0.1128,0.0092,-7.1,0,12,sn99aa,4.6,Ia-norm,0.1128,0.0093,-10.49,0,17,sn1997br,4.1,Ia-91T,0.1072,0.01,-8.0,0,18,sn07it,4.07,II-norm,0.1326,0.0033,191.0,0
ZTF19aavwbpc_20190704_Keck1_v1.ascii,ZTF19aavwbpc,sn1999X,21.05,0.0795,0.0025,1,1,sn1999X,21.05,Ia-norm,0.0795,0.0025,20.8,0,2,sn2000cf,19.9,Ia-norm,0.0772,0.0026,16.4,0,3,sn2005kc,17.92,Ia-norm,0.0795,0.0028,15.6,0,4,sn03du,17.45,Ia-norm,0.0788,0.0029,21.8,0,12,sn1998es,15.96,Ia-91T,0.0777,0.0031,23.1,0
ZTF19aavwbpc_20190704_Keck1_v2.ascii,ZTF19aavwbpc,sn1998eg,21.89,0.079,0.0023,1,1,sn1998eg,21.89,Ia-norm,0.079,0.0023,16.8,0,2,sn2000cf,20.48,Ia-norm,0.0766,0.0025,16.4,0,3,sn1995ak,19.66,Ia-norm,0.0783,0.0026,13.4,0,4,sn1999X,18.68,Ia-norm,0.0787,0.0028,20.8,0,21,sn2001V,15.86,Ia-91T,0.0797,0.0033,21.3,0
ZTF19aavwbxs_20190603_P60_v1.ascii,ZTF19aavwbxs,sn1991N,5.82,0.0478,0.0068,1,1,sn79C,6.05,II-norm,0.0218,0.0086,71.6,0,3,sn1991N,5.82,Ic-norm,0.0478,0.0068,276.1,1,5,sn92H,5.3,II-norm,0.0449,0.007,129.8,0,6,sn2004gq,5.25,Ib-norm,0.0506,0.0076,343.8,0,10,agn,4.79,AGN,0.009,0.0054,-99.9,2
ZTF19aavwbxs_20190603_P60_v2.ascii,ZTF19aavwbxs,sn91A,5.28,0.0501,0.0089,1,1,sn91A,5.28,Ic-norm,0.0501,0.0089,128.3,1,3,sn79C,4.97,II-norm,0.0223,0.0099,71.6,0,5,sn2004gq,4.89,Ib-norm,0.051,0.0079,343.8,0,6,sn92H,4.85,II-norm,0.0457,0.0071,129.8,0,7,sn91N,4.75,Ic-norm,0.0487,0.0081,276.1,1
ZTF19aavwbxs_20190622_P60_v1.ascii,ZTF19aavwbxs,sn2005cs,8.69,0.0459,0.0025,1,1,sn2005cs,8.69,II-norm,0.0459,0.0025,188.6,0,5,sn05cs,6.33,II-norm,0.0452,0.0034,176.1,0,6,sn1987A,5.73,II-norm,0.0496,0.0042,651.5,0,19,sn96L,5.2,IIn,0.0476,0.0041,322.8,0,25,lbv99bw,5.11,LBV,0.0485,0.0039,-99.9,2
ZTF19aavwdwy_20190622_P60_v1.ascii,ZTF19aavwdwy,iPTF13bvn,5.0,0.1878,0.0064,1,1,iPTF13bvn,5.0,Ib-norm,0.1878,0.0064,-12.7,0,2,sn2006el,4.42,IIb,0.171,0.0047,16.82,0,3,sn1998S,4.16,IIn,0.0698,0.0071,247.3,0,9,sn1992A,3.77,Ia-norm,0.3264,0.0117,225.0,0,10,kcS0,3.7,Gal,0.0713,0.0093,-99.9,2
ZTF19aavweog_20190604_P200_v1.ascii,ZTF19aavweog,kcSB4,15.75,0.0333,0.0011,1,1,kcSB4,15.75,Gal,0.0333,0.0011,-99.9,2,2,kcSB5,13.81,Gal,0.0336,0.0013,-99.9,2,3,kcSB6,13.46,Gal,0.0332,0.0013,-99.9,2,8,PTF11rks,10.16,Ic-SLSN,0.417,0.0017,47.61,0,9,sn2006el,8.86,IIb,0.0332,0.0018,16.82,0
ZTF19aavweum_20190531_P60_v1.ascii,ZTF19aavweum,sn2003it,16.36,0.0422,0.0032,1,1,sn2003it,16.36,Ia-norm,0.0422,0.0032,-3.2,0,2,sn2007jg,15.72,Ia-norm,0.0465,0.0041,-2.3,0,8,sn2001br,14.46,Ia-norm,0.0467,0.004,-0.4,0,9,sn2002jy,14.36,Ia-norm,0.039,0.0036,3.0,0,11,sn96X,14.19,Ia-norm,0.0402,0.0035,-2.0,0
ZTF19aavxfib_20190610_NTT_v1.ascii,ZTF19aavxfib,sn99aa,5.49,0.2553,0.0105,0,1,sn99aa,5.49,Ia-norm,0.2553,0.0105,2.7,0,3,sn03du,5.19,Ia-norm,0.2421,0.0096,5.0,0,5,SSS120810-23,5.1,Ic-SLSN,0.1149,0.0164,38.63,0,6,sn02er,5.06,Ia-norm,0.2581,0.0115,-8.4,0,12,sn2001eh,4.84,Ia-91T,0.2458,0.0109,2.7,0
ZTF19aavxgur_20190701_P200_v2.ascii,ZTF19aavxgur,kcSB6,11.35,0.044,0.0016,1,1,kcSB6,11.35,Gal,0.044,0.0016,-99.9,2,2,kcSB4,11.24,Gal,0.0439,0.0016,-99.9,2,3,kcSB5,10.46,Gal,0.0443,0.0017,-99.9,2,5,sn09au,8.27,II-norm,0.0437,0.0025,77.0,0,7,ASASSN14li,7.72,TDE,0.0449,0.004,10.0,1
ZTF19aavxikq_20190608_P60_v1.ascii,ZTF19aavxikq,sn94ae,19.36,0.0504,0.0027,1,1,sn94ae,19.36,Ia-norm,0.0504,0.0027,1.3,0,2,sn2004bg,19.11,Ia-norm,0.0493,0.0028,-3.0,0,3,sn94D,18.59,Ia-norm,0.0509,0.0028,-3.6,0,5,sn2008bf,18.09,Ia-norm,0.0523,0.0028,0.7,0,71,sn2001az,13.02,Ia-91T,0.0531,0.004,-3.1,0
ZTF19aavxpbx_20190604_P60_v1.ascii,ZTF19aavxpbx,sn05hj,12.25,0.0711,0.004,1,1,sn05hj,12.25,Ia-norm,0.0711,0.004,-0.3,0,2,sn03cg,11.44,Ia-norm,0.0721,0.0042,-2.3,0,4,sn08ds,11.09,Ia-norm,0.0705,0.0054,-0.08,0,8,sn1994ae,9.21,Ia-norm,0.0719,0.0062,0.0,0,23,sn1999aa,8.57,Ia-91T,0.0708,0.0068,1.8,0
ZTF19aavxufb_20190605_P60_v1.ascii,ZTF19aavxufb,sn2008bf,21.92,0.0673,0.0024,1,1,sn2008bf,21.92,Ia-norm,0.0673,0.0024,7.5,0,2,sn2006N,20.92,Ia-norm,0.0643,0.0024,5.6,0,3,sn2003W,20.05,Ia-norm,0.0853,0.0033,-5.3,0,27,sn06gz,15.72,Ia-03fg,0.0642,0.0031,7.2,0,43,sn2003fa,14.69,Ia-91T,0.0635,0.0035,8.7,0
ZTF19aavyvbn_20191031_P60_v2.ascii,ZTF19aavyvbn,sn1997ef,5.65,0.0612,0.009,1,1,agn,6.53,AGN,0.0134,0.0041,-99.9,2,2,sn06bc,6.49,II-norm,0.0128,0.0036,9.0,0,3,lbv01ac,6.44,LBV,0.0137,0.0036,-99.9,2,4,lbv2001ac,6.44,LBV,0.0137,0.0036,-99.9,2,5,qso,6.35,QSO,0.0136,0.0042,-100.0,2
ZTF19aavyvbn_20191104_APO_v1.ascii,ZTF19aavyvbn,kcSB6,11.87,0.0154,0.0016,1,1,kcSB6,11.87,Gal,0.0154,0.0016,-99.9,2,2,sn06bc,11.52,II-norm,0.0151,0.0018,9.0,0,3,kcSB5,11.48,Gal,0.0155,0.0017,-99.9,2,4,kcSB4,11.44,Gal,0.0152,0.0017,-99.9,2,8,lbv01ac,9.62,LBV,0.0163,0.0019,-99.9,2
ZTF19aavyvbn_20191105_P200_v1.ascii,ZTF19aavyvbn,agn,14.71,0.0147,0.0016,1,1,agn,14.71,AGN,0.0147,0.0016,-99.9,2,2,qso,13.95,QSO,0.0149,0.0016,-100.0,2,3,sn06bc,12.92,II-norm,0.0144,0.0016,9.0,0,4,kcSB3,11.71,Gal,0.0154,0.0016,-99.9,2,5,kcSB6,11.14,Gal,0.0145,0.0017,-99.9,2
ZTF19aavyvbn_20191124_P60_v1.ascii,ZTF19aavyvbn,lbv01ac,7.02,0.0131,0.0037,1,1,lbv01ac,7.02,LBV,0.0131,0.0037,-99.9,2,2,lbv2001ac,7.02,LBV,0.0131,0.0037,-99.9,2,3,lbv99bw,6.63,LBV,0.0133,0.0039,-99.9,2,7,sn06bc,6.02,II-norm,0.0129,0.0044,9.0,0,8,sn1991N,5.93,Ic-norm,0.0521,0.0065,276.1,1
ZTF19aawafvn_20190612_P60_v1.ascii,ZTF19aawafvn,sn1994ae,7.32,0.0743,0.0078,1,1,sn1994ae,7.32,Ia-norm,0.0743,0.0078,0.0,0,6,sn2008Q,6.51,Ia-norm,0.0796,0.0086,-7.2,0,7,sn2007ca,6.46,Ia-norm,0.0741,0.0088,3.4,0,8,sn2006ax,6.36,Ia-norm,0.0729,0.0094,0.5,0,53,sn1998es,5.28,Ia-91T,0.0737,0.0109,1.5,0
ZTF19aawbgdh_20190606_P60_v1.ascii,ZTF19aawbgdh,sn92H,4.24,0.0455,0.0065,1,1,iPTF13bvn,4.95,Ib-norm,0.1613,0.0282,-12.7,0,2,sn2010bh,4.33,Ic-BL,0.0985,0.0114,-3.5,0,3,sn92H,4.24,II-norm,0.0455,0.0065,309.7,0,5,sn2002dl,4.2,Ia-91bg,0.1519,0.0163,-7.4,0,7,sn1999by,4.17,Ia-91bg,0.1455,0.0201,-5.0,0
ZTF19aawbgdh_20190704_Keck1_v1.ascii,ZTF19aawbgdh,kcSB4,14.77,0.0454,0.0012,1,1,kcSB4,14.77,Gal,0.0454,0.0012,-99.9,2,2,kcSB6,14.12,Gal,0.0454,0.0013,-99.9,2,3,kcSB5,13.46,Gal,0.0457,0.0013,-99.9,2,8,PTF11rks,10.64,Ic-SLSN,0.4337,0.0017,47.61,0,9,sn05gj,9.92,Ia-csm,0.0456,0.0025,66.8,0
ZTF19aawblge_20190628_P60_v1.ascii,ZTF19aawblge,sn1995al,6.66,0.459,0.0089,0,1,sn1995al,6.66,Ia-norm,0.459,0.0089,93.8,0,2,sn2007F,6.19,Ia-norm,0.4618,0.0081,80.0,0,3,sn2006X,5.83,Ia-norm,0.4588,0.0087,72.7,0,4,sn2006lc,5.67,Ib-norm,0.4675,0.0097,5.0,1,9,PTF10vgv,5.3,Ic-BL,0.4494,0.0196,8.2,0
ZTF19aawblge_20190628_P60_v2.ascii,ZTF19aawblge,sn07ba,7.77,0.0466,0.0081,1,1,sn07ba,7.77,Ia-91bg,0.0466,0.0081,8.01,0,2,sn99ac,7.61,Ia-91T,0.0507,0.008,39.9,0,5,sn01en,7.27,Ia-norm,0.0439,0.0084,35.64,0,6,sn1995D,7.24,Ia-norm,0.0437,0.0077,38.2,0,7,sn97br,7.06,Ia-91T,0.0435,0.0086,46.13,0
ZTF19aawblge_20190701_P200_v1.ascii,ZTF19aawblge,sn1996X,32.3,0.0455,0.002,1,1,sn1996X,32.3,Ia-norm,0.0455,0.002,24.0,0,3,sn07fs,32.24,Ia-norm,0.0432,0.0019,29.49,0,6,sn1995D,32.12,Ia-norm,0.0426,0.0017,38.2,0,7,sn02el,28.85,Ia-norm,0.0455,0.0023,21.49,0,53,sn99ac,17.4,Ia-91T,0.0519,0.0037,29.0,0
ZTF19aawbsek_20190603_P60_v1.ascii,ZTF19aawbsek,sn2004as,22.78,0.0372,0.0028,1,1,sn2004as,22.78,Ia-norm,0.0372,0.0028,-6.8,0,3,sn1998ec,20.25,Ia-norm,0.0355,0.0031,-3.9,0,4,sn1998dh,19.71,Ia-norm,0.0332,0.0029,-5.4,0,5,sn2002er,19.71,Ia-norm,0.0325,0.0029,-3.8,0,10,sn1997dt,18.05,Ia-norm,0.0321,0.0032,-4.7,0
ZTF19aawbsek_20190604_P60_v1.ascii,ZTF19aawbsek,sn04as,20.25,0.0385,0.0029,1,1,sn04as,20.25,Ia-norm,0.0385,0.0029,-4.36,0,2,sn02er,18.61,Ia-norm,0.0355,0.0028,-4.25,0,3,sn2005cf,17.26,Ia-norm,0.0305,0.003,-0.2,0,9,sn99dk,16.63,Ia-norm,0.0434,0.0034,-6.92,0,88,sn2001eh,12.05,Ia-91T,0.0322,0.0041,2.7,0
ZTF19aawethv_20190617_P60_v1.ascii,ZTF19aawethv,sn2003bg,7.71,0.0319,0.009,1,1,sn2003bg,7.71,IIb,0.0319,0.009,-15.4,0,3,sn1998fa,7.52,IIb,0.0229,0.0073,-3.1,0,4,sn2001ig,7.02,IIb,0.0318,0.0089,5.0,1,8,sn00cn,6.0,Ia-norm,0.0173,0.0097,14.95,0,12,sn2007bg,5.89,Ic-BL,0.0301,0.0108,6.9,0
ZTF19aawethv_20190722_P60_v1.ascii,ZTF19aawethv,sn90B,12.82,0.0152,0.0033,1,1,sn90B,12.82,Ic-norm,0.0152,0.0033,6.0,0,11,sn2008D,8.99,Ib-norm,0.0123,0.0056,31.3,0,12,sn2012ap,8.01,Ic-BL,0.0282,0.008,14.0,0,15,sn1999di,7.45,Ib-norm,0.0117,0.0067,23.6,1,18,sn2009jf,7.37,Ib-norm,0.0129,0.0062,24.0,0
ZTF19aawethv_20190803_P60_v1.ascii,ZTF19aawethv,sn02cs,7.53,0.0151,0.0082,1,1,sn02cs,7.53,Ia-norm,0.0151,0.0082,142.16,0,2,sn2004fe,7.34,Ic-norm,0.0147,0.0069,22.22,0,3,sn1991A,7.33,Ic-norm,0.0126,0.0074,16.8,1,5,sn2008D,6.96,Ib-norm,0.0139,0.0074,30.1,0,6,sn88L,6.77,Ib-norm,0.0152,0.0083,47.7,1
ZTF19aawfbtg_20190616_P60_v1.ascii,ZTF19aawfbtg,sn2002cd,7.09,0.4204,0.0082,0,1,sn2002cd,7.09,Ia-norm,0.4204,0.0082,-8.6,0,2,sn2003W,6.11,Ia-norm,0.4191,0.0108,-7.3,0,3,sn1997do,6.09,Ia-norm,0.4195,0.0098,-10.6,0,52,sn2003dh,4.58,Ic-BL,0.4211,0.0194,30.4,0,72,sn1999aa,4.4,Ia-91T,0.3962,0.0111,-0.2,0
ZTF19aawfbtg_20190619_P60_v1.ascii,ZTF19aawfbtg,sn2006gr,8.08,0.1237,0.0081,1,1,sn2006gr,8.08,Ia-norm,0.1237,0.0081,-6.9,0,7,sn2006S,7.02,Ia-norm,0.1119,0.008,-5.5,0,8,sn1999aw,6.76,Ia-91T,0.1165,0.0069,0.0,0,11,sn2008Z,6.65,Ia-norm,0.1171,0.0115,-9.2,0,13,sn2003Y,5.89,Ia-91bg,0.1376,0.0147,-6.3,0
ZTF19aawfbtg_20190630_P60_v1.ascii,ZTF19aawfbtg,sn2005M,5.41,0.2385,0.0121,0,1,sn2005M,5.41,Ia-91T,0.2385,0.0121,0.2,0,2,sn2007S,5.29,Ia-91T,0.2487,0.012,-4.7,0,4,sn04aw,5.23,Ic-norm,0.2409,0.0095,-0.2,0,6,sn1991T,5.21,Ia-91T,0.2353,0.0132,-1.5,0,9,sn2004dt,5.09,Ia-norm,0.1187,0.0139,-5.6,0
ZTF19aawfbtg_20190701_P200_v1.ascii,ZTF19aawfbtg,sn06gz,7.13,0.1055,0.0052,1,1,sn06gz,7.13,Ia-03fg,0.1055,0.0052,-14.3,0,3,sn2011ei,6.38,IIb,0.0931,0.005,3.0,0,5,sn2001ck,5.91,Ia-norm,0.0985,0.0081,5.8,0,6,sn2015bn,5.87,Ic-SLSN,0.088,0.0075,-28.29,0,7,sn2005U,5.83,IIb,0.0966,0.0088,0.0,1
ZTF19aawfbtg_20190701_P60_v1.ascii,ZTF19aawfbtg,sn2004aw,6.04,0.3957,0.0113,1,1,sn2013dg,7.22,Ic-SLSN,0.4083,0.0107,21.03,0,2,sn2004aw,6.04,Ic-norm,0.3957,0.0113,3.6,0,4,LSQ14mo,5.92,Ic-SLSN,0.3915,0.0147,15.0,0,5,sn1994D,5.65,Ia-norm,0.2132,0.012,105.2,0,6,sn2002ic,5.64,Ia-csm,0.3878,0.0105,5.6,0
ZTF19aawfbtg_20190702_Keck1_v1.ascii,ZTF19aawfbtg,sn94I,5.84,0.204,0.0119,0,1,sn94I,5.84,Ic-norm,0.204,0.0119,24.1,0,2,iPTF13bvn,5.75,Ib-norm,0.2185,0.0111,-14.7,0,3,sn2007bj,5.43,Ia-norm,0.2225,0.011,12.0,0,4,sn1996C,5.36,Ia-norm,0.2332,0.0101,2.0,0,5,sn91T,5.28,Ia-91T,0.3905,0.0136,-7.3,0
ZTF19aawfbtg_20190718_P60_v1.ascii,ZTF19aawfbtg,sn2001ig,8.59,0.1073,0.0074,1,1,sn2001ig,8.59,IIb,0.1073,0.0074,12.0,1,2,sn2003W,7.84,Ia-norm,0.1348,0.0093,-10.2,0,3,sn1998es,7.23,Ia-91T,0.2533,0.0074,-8.4,0,6,sn1999aa,6.53,Ia-91T,0.2524,0.0081,-6.1,0,7,sn2007S,6.53,Ia-91T,0.2522,0.0092,-4.7,0
ZTF19aawfbtg_20190718_P60_v2.ascii,ZTF19aawfbtg,sn91T,5.85,0.0961,0.0091,1,1,sn91T,5.85,Ia-91T,0.0961,0.0091,7.43,0,2,sn03cg,5.6,Ia-norm,0.1026,0.0101,-1.8,0,4,sn1996X,5.44,Ia-norm,0.104,0.009,0.1,0,6,sn2004gq,5.44,Ib-norm,0.2459,0.0104,-0.1,0,7,sn00dg,5.41,Ia-norm,0.1051,0.0082,-5.0,0
ZTF19aawfbtg_20190726_P60_v1.ascii,ZTF19aawfbtg,sn2000H,8.17,0.0915,0.0086,1,1,sn2000H,8.17,IIb,0.0915,0.0086,6.7,0,3,sn2008ax,7.73,IIb,0.0956,0.009,-8.0,0,4,sn2001ej,7.65,Ib-norm,0.0929,0.0087,1.0,1,6,sn2002jy,7.33,Ia-norm,0.0977,0.0074,9.9,0,8,sn1998dx,7.26,Ia-norm,0.0977,0.0075,7.8,0
ZTF19aawfbtg_20190810_P60_v1.ascii,ZTF19aawfbtg,sn00H,10.93,0.0946,0.0058,1,1,sn00H,10.93,IIb,0.0946,0.0058,6.7,0,11,sn2001ej,7.75,Ib-norm,0.0944,0.0079,0.0,1,12,sn2011ei,7.57,IIb,0.1033,0.0072,-6.0,0,16,sn2004ff,7.17,IIb,0.0937,0.0079,-1.2,0,28,sn94D,6.2,Ia-norm,0.0949,0.0079,10.1,0
ZTF19aawfbtg_20190906_P200_v1.ascii,ZTF19aawfbtg,PTF10hgi,9.83,0.0915,0.004,1,1,PTF10hgi,9.83,Ic-SLSN,0.0915,0.004,68.37,0,2,sn2011dh,9.16,IIb,0.0865,0.0054,23.4,0,4,sn2011fu,8.92,IIb,0.0894,0.0051,17.0,0,5,sn2001ig,8.86,IIb,0.095,0.0059,49.0,1,10,sn2007C,8.09,Ib-norm,0.1031,0.0063,-1.0,0
ZTF19aawfbtg_20191006_P200_v1.ascii,ZTF19aawfbtg,sn2008cw,11.03,0.0931,0.0041,1,1,sn2008cw,11.03,IIb,0.0931,0.0041,2.0,1,4,sn1993J,10.11,IIb,0.0901,0.0037,37.7,0,6,sn2006T,9.6,IIb,0.0914,0.0043,6.3,0,7,PTF10hgi,9.55,Ic-SLSN,0.092,0.0041,81.11,0,21,sn2006ep,8.47,Ib-norm,0.0928,0.0039,45.5,0
ZTF19aawfbtg_20191121_Keck1_v1.ascii,ZTF19aawfbtg,PTF10hgi,11.65,0.0921,0.0035,1,1,PTF10hgi,11.65,Ic-SLSN,0.0921,0.0035,81.11,0,2,iPTF13ajg,9.1,Ic-SLSN,0.201,0.0035,7.7,0,4,sn2007gr,8.64,Ic-norm,0.0937,0.0047,42.0,0,5,sn2007gr,8.6,Ic-norm,0.0937,0.0047,45.0,0,7,sn1993J,8.08,IIb,0.0901,0.0046,70.0,0
ZTF19aawfbtg_20200622_Keck1_v1.ascii,ZTF19aawfbtg,sn2008C,8.71,1.0058,0.0068,0,1,sn2008C,8.71,Ia-norm,1.0058,0.0068,90.8,0,2,sn1997do,7.47,Ia-norm,1.0227,0.0073,47.8,0,3,sn2007fs,7.15,Ia-norm,1.0136,0.0074,60.9,0,19,sn2007bi,5.88,Ic-SLSN,1.0401,0.0089,101.52,0,29,sn1991T,5.39,Ia-91T,1.0098,0.0098,73.8,0
ZTF19aawfbzn_20190603_P60_v1.ascii,ZTF19aawfbzn,sn01ep,11.8,0.0427,0.0051,1,1,sn01ep,11.8,Ia-norm,0.0427,0.0051,5.97,0,3,sn1999bh,9.97,Ia-91bg,0.0317,0.0065,5.1,0,4,sn05kc,9.88,Ia-norm,0.0424,0.006,10.22,0,5,sn1998de,9.61,Ia-91bg,0.0438,0.0074,-2.2,0,6,iPTF13bvn,9.28,Ib-norm,0.059,0.0065,-12.7,0
ZTF19aawfcgp_20190605_P60_v1.ascii,ZTF19aawfcgp,sn99da,11.52,0.0152,0.005,1,1,sn99da,11.52,Ia-91bg,0.0152,0.005,-1.52,0,2,sn02bo,10.91,Ia-norm,0.0386,0.0059,-12.3,0,4,sn2007bm,10.27,Ia-norm,0.0225,0.0055,-11.2,0,5,sn2007hj,9.94,Ia-norm,0.0201,0.0053,1.4,0,40,sn04aw,8.42,Ic-norm,0.0159,0.0073,1.9,0
ZTF19aawfezk_20190704_Keck1_v1.ascii,ZTF19aawfezk,sn2002ap,19.84,0.0491,0.004,1,1,sn2002ap,19.84,Ic-BL,0.0491,0.004,25.5,0,2,sn97ei,19.21,Ic-norm,0.0448,0.0032,10.9,1,6,sn2009jf,17.76,Ib-norm,0.042,0.0033,66.5,0,7,sn2004fe,16.88,Ic-norm,0.0443,0.0034,22.22,0,10,sn1991A,16.01,Ic-norm,0.0415,0.0038,16.8,1
ZTF19aawfkeg_20190614_P60_v1.ascii,ZTF19aawfkeg,sn97br,5.42,0.4897,0.0087,0,1,sn97br,5.42,Ia-91T,0.4897,0.0087,8.5,0,5,sn01en,4.94,Ia-norm,0.4883,0.009,10.09,0,6,sn2005cf,4.84,Ia-norm,0.4841,0.0091,12.2,0,7,sn2006le,4.78,Ia-norm,0.489,0.0097,10.8,0,9,sn91bg,4.74,Ia-91bg,0.3029,0.0062,202.7,0
ZTF19aawfkeg_20190626_Lick_3-m_v1.ascii,ZTF19aawfkeg,kcSB3,12.91,0.0473,0.0015,1,1,kcSB3,12.91,Gal,0.0473,0.0015,-99.9,2,2,kcSB5,12.88,Gal,0.0466,0.0015,-99.9,2,3,kcSB4,12.08,Gal,0.0462,0.0016,-99.9,2,6,sn2005cs,8.87,II-norm,0.051,0.005,4.2,0,7,PTF11rks,8.82,Ic-SLSN,0.4359,0.0021,47.61,0
