,ZTF_Name,Version,subject_ids,NoMatch,#1,#2,#3,#4,#5
1709,ZTF19aawgfnn,ZTF19aawgfnn_20190607_P60_v1.ascii,53627346,1,6,2,2,0,0
1710,ZTF19aawqcgy,ZTF19aawqcgy_20190609_P60_v2.ascii,53627380,9,0,1,1,0,0
1711,ZTF19aawrpwn,ZTF19aawrpwn_20190606_P60_v1.ascii,53627387,0,0,0,1,9,0
1712,ZTF19aawtqdv,ZTF19aawtqdv_20190618_P60_v1.ascii,53627398,1,3,2,2,2,1
1713,ZTF19aawupxb,ZTF19aawupxb_20190620_P60_v1.ascii,53627401,1,1,2,0,5,2
1714,ZTF19aaxbzqp,ZTF19aaxbzqp_20190606_P60_v1.ascii,53627405,3,2,1,0,5,0
1715,ZTF19aaxfcpq,ZTF19aaxfcpq_20190606_P60_v1.ascii,53627417,4,5,0,1,0,1
1716,ZTF19aaxffum,ZTF19aaxffum_20190608_P60_v1.ascii,53627428,2,4,2,1,1,1
1717,ZTF19aaxhysx,ZTF19aaxhysx_20190612_P60_v1.ascii,53627431,2,2,1,2,1,3
1718,ZTF19aaxkhxw,ZTF19aaxkhxw_20190627_P60_v1.ascii,53627438,0,3,3,0,5,0
1719,ZTF19aayckwk,ZTF19aayckwk_20190625_P60_v1.ascii,53627459,2,0,0,9,0,0
1720,ZTF19aayckwk,ZTF19aayckwk_20190625_P60_v2.ascii,53627460,2,7,0,0,1,1
1721,ZTF19aaycrgf,ZTF19aaycrgf_20190611_P60_v1.ascii,53627462,6,0,0,2,0,3
1722,ZTF19aaydpiq,ZTF19aaydpiq_20190613_P60_v1.ascii,53627466,3,5,0,1,0,1
1723,ZTF19aayejww,ZTF19aayejww_20190614_Lick_3-m_v1.ascii,53627485,3,3,0,5,0,0
1724,ZTF19aayejww,ZTF19aayejww_20190614_P60_v1.ascii,53627486,4,0,2,0,1,4
1725,ZTF19aayfaum,ZTF19aayfaum_20190609_P60_v1.ascii,53627504,4,1,2,3,1,0
1726,ZTF19aaymcet,ZTF19aaymcet_20200624_P60_v2.ascii,53627514,5,0,0,0,5,0
1727,ZTF19aayogzn,ZTF19aayogzn_20190704_P200_v1.ascii,53627522,3,2,1,5,0,0
1728,ZTF19aayrosj,ZTF19aayrosj_20190618_P60_v1.ascii,53627528,6,1,0,1,3,0
1729,ZTF19aaznwze,ZTF19aaznwze_20190701_P200_v1.ascii,53627559,0,4,0,4,3,0
1730,ZTF19aazpvdy,ZTF19aazpvdy_20190626_P60_v1.ascii,53627749,2,6,1,2,0,0
1731,ZTF19aazudta,ZTF19aazudta_20190623_P60_v1.ascii,53627754,0,4,1,5,1,0
1732,ZTF19aazwnsq,ZTF19aazwnsq_20190627_P60_v1.ascii,53627756,2,4,1,3,0,1
1733,ZTF19aazwnwy,ZTF19aazwnwy_20190616_P60_v1.ascii,53627757,1,2,0,1,0,7
1734,ZTF19aazwnwy,ZTF19aazwnwy_20190804_P200_v1.ascii,53627761,1,1,0,6,3,0
1735,ZTF19ababmsi,ZTF19ababmsi_20190623_P60_v1.ascii,53627773,0,3,2,2,2,2
1736,ZTF19abacxod,ZTF19abacxod_20190624_P60_v1.ascii,53627776,1,5,1,3,1,0
1737,ZTF19abacxwt,ZTF19abacxwt_20190630_APO_v1.ascii,53627783,3,3,0,5,0,0
1738,ZTF19abahvdh,ZTF19abahvdh_20190625_P60_v1.ascii,53627804,0,2,5,0,3,1
1739,ZTF19abajuqh,ZTF19abajuqh_20190703_P60_v1.ascii,53627807,0,1,4,2,3,0
1740,ZTF19abakdjd,ZTF19abakdjd_20190702_P60_v1.ascii,53627810,3,1,5,0,2,0
1741,ZTF19abanayw,ZTF19abanayw_20190628_P60_v1.ascii,53627828,2,3,3,3,0,0
1742,ZTF19abanayw,ZTF19abanayw_20190704_Lick_3-m_v1.ascii,53627830,1,3,5,2,0,0
1743,ZTF19abandzh,ZTF19abandzh_20190624_P60_v1.ascii,53627833,4,1,2,3,0,1
1744,ZTF19abandzh,ZTF19abandzh_20190704_Lick_3-m_v1.ascii,53627834,1,5,3,0,1,1
1745,ZTF19abangub,ZTF19abangub_20190709_P60_v1.ascii,53627840,1,4,0,5,0,1
1746,ZTF19abasxkg,ZTF19abasxkg_20190706_P60_v1.ascii,53627844,2,2,1,1,4,1
1747,ZTF19abatvzs,ZTF19abatvzs_20190627_P60_v2.ascii,53627848,3,2,2,2,2,0
1748,ZTF19abatvzs,ZTF19abatvzs_20190710_P60_v1.ascii,53627851,4,0,1,4,1,0
1749,ZTF19abatvzs,ZTF19abatvzs_20190713_APO_v1.ascii,53627852,3,2,1,0,3,2
1750,ZTF19abatvzs,ZTF19abatvzs_20190716_P60_v2.ascii,53627854,1,5,2,2,1,0
1751,ZTF19abauylg,ZTF19abauylg_20190704_P60_v1.ascii,53627858,1,4,0,1,1,3
1752,ZTF19abauylg,ZTF19abauylg_20190707_P60_v1.ascii,53627859,2,1,2,6,0,0
1753,ZTF19abauylg,ZTF19abauylg_20190726_APO_v1.ascii,53627862,1,6,0,4,0,0
1754,ZTF19abauylg,ZTF19abauylg_20190726_P60_v1.ascii,53627863,1,1,0,8,1,0
1755,ZTF19abauylg,ZTF19abauylg_20190731_P60_v1.ascii,53627864,0,7,1,0,2,0
1756,ZTF19abbwfgp,ZTF19abbwfgp_20190704_P200_v1.ascii,53627883,1,0,8,0,0,2
