ZTF_Name classification redshift HGz JD JD_peak phase name flag is_good_spec SF_fit_1 chi2_fit_1 zfit_1 zfit_2 SF_fit_2 chi2_fit_2 c_snid c_rlap z_snid SNR short_name
ZTF18aajqcue SLSN-I 0.0734 nan 2458316.5 2458272.63 43.87 ZTF18aajqcue_20180717_P200_v1.ascii 1 False Ia-norm 0.0030212868 0.0734 nan nan nan Ic-norm 12.55 0.0898 4.725625586333072 "2012cu/KAST+2012-07-23 04:48:00.00"
ZTF18aajqcue SLSN-I 0.0734 nan 2458487.5 2458272.63 214.87 ZTF18aajqcue_20190104_Keck1_v1.ascii 1 False SLSN-I 0.0025649995 0.0734 0.0734 Ca-Ib 0.0029214523 II-norm 7.87 0.4338 10.46335347444682 "2017egm/Other+2017-11-14 00:00:00.00"
ZTF18aajqcue SLSN-I 0.0734 nan 2458600.5 2458272.63 327.87 ZTF18aajqcue_20190427_P200_v1.ascii 1 False SLSN-IIn 0.0015301916 0.0734 0.0734 II 0.002048639 Ia-norm 3.57 1.1979 1.7923792393220008 "PTF10fel/HET-LRS+2010-04-16 00:00:00.00"
ZTF18aajpjdi Ia 0.08 0.074638 2458233.5 2458245.66 -12.16 ZTF18aajpjdi_20180425_P60_v1.ascii 1 False Ia-pec 0.003824747 0.08 0.08 Ia-pec 0.0038328692 Ia-norm 6.43 0.0742 8.88192907508584 "2000cx/KAST+2000-08-01 00:00:00.00"
ZTF18aajpjdi Ia 0.08 0.074638 2458235.5 2458245.66 -10.16 ZTF18aajpjdi_20180427_LT_v1.ascii 1 True "Ia 99aa-like" 0.0031044655 0.08 nan nan nan Ia-norm 9.87 0.0944 2.3694139494445343 "1999aa/MARK-III+1999-03-03 00:00:00.00"
ZTF18aahqmsr Ia 0.064 nan 2458234.5 2458231.62 2.88 ZTF18aahqmsr_20180426_P60_v1.ascii 1 True "Ia 99aa-like" 0.002026092 0.064 0.064 Ia-norm 0.0023952588 Ia-norm 8.38 0.0604 7.627494826655887 "1999aa/KAST+1999-02-23 00:00:00.00"
ZTF18aakrnvd IIn 0.047 0.045349 2458255.5 2458312.64 -57.14 ZTF18aakrnvd_20180517_NOT_v1.ascii 1 False IIn 0.0037141158 0.047 0.047 IIn 0.0042732297 QSO 13.11 0.0446 9.373192348536202 "2002bu/KAST+2002-04-08 00:00:00.00"
ZTF18aakrnvd IIn 0.047 0.045349 2458255.5 2458312.64 -57.14 ZTF18aakrnvd_20180517_P200_v1.ascii 1 False Ic-BL 0.004740388 0.047 0.047 Ic-BL 0.0049420595 IIn 10.45 0.0446 6.877297032249005 "2006aj/FORS2+2006-02-23 00:37:26.00"
ZTF18aakrnvd IIn 0.047 0.045349 2458255.5 2458312.64 -57.14 ZTF18aakrnvd_20180517_P60_v1.ascii 1 False IIb 0.0024032975 0.047 0.047 II 0.0026453165 Ic-BL 5.43 0.3008 9.116393436674203 "2013df/KAST+2013-06-16 05:47:02.00"
ZTF18aakrnvd IIn 0.047 0.045349 2458255.5 2458312.64 -57.14 ZTF18aakrnvd_20180517_P60_v2.ascii 1 False II-flash 0.0031223313 0.047 0.047 IIb 0.0036310886 II-norm 5.77 0.0536 9.962849044083764 "iPTF14flu_early/LRIS+2014-09-29 06:18:23.00"
ZTF18aakrnvd IIn 0.047 0.045349 2458255.5 2458312.64 -57.14 ZTF18aakrnvd_20180517_P60_v3.ascii 1 False Ia-pec 0.005744055 0.047 0.047 Ic-BL 0.0064175553 Ia-norm 7.23 0.5339 3.677004252118569 "2013bh/HET-LRS+2013-04-16 00:00:00.00"
ZTF18aakrnvd IIn 0.047 0.045349 2458255.5 2458312.64 -57.14 ZTF18aakrnvd_20180517_P60_v4.ascii 1 False II-flash 0.0040731234 0.047 0.047 II-flash 0.0040735044 Ic-BL 6.48 0.2958 8.834196412530233 "iPTF14flu_early/LRIS+2014-09-29 06:18:23.00"
ZTF18aakrnvd IIn 0.047 0.045349 2458256.5 2458312.64 -56.14 ZTF18aakrnvd_20180518_P60_v1.ascii 1 True IIb 0.0023163967 0.047 nan nan nan Ia-91bg 4.67 0.7179 6.205841527199873 "2013df/HET-LRS+2013-07-08 00:00:00.00"
ZTF18aakzliv Ia 0.089 nan 2458254.5 2458235.93 18.57 ZTF18aakzliv_20180516_P200_v1.ascii 1 True Ia-norm 0.011004136 0.089 0.089 "Ia 99aa-like" 0.023747556 Ia-norm 17.31 0.0919 2.863668488655719 "2011fe/SNIFS+2011-09-22 05:09:47.00"
ZTF18aalcxig Ia 0.071 nan 2458254.5 2458247.86 6.64 ZTF18aalcxig_20180516_P200_v1.ascii 1 True Ia-norm 0.005600971 0.071 0.071 Ia-norm 0.008658229 Ia-norm 23.45 0.0745 5.214452397091714 "2011fe/SNIFS+2011-09-22 05:09:47.00"
