Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av
ZTF19acbumks_20191027_Keck1_v1.ascii,binnings/ZTF19acbumks_20191027_Keck1_v1,IIb,0.031775,IIb/2013cu/DIS phase-band : 52.19U,SB5,0.50503534,0.49496466,52.19,-0.4
ZTF19acbzgog_20191024_P200_v2.ascii,binnings/ZTF19acbzgog_20191024_P200_v2,IIn,0.0001615,IIn/2010jl/KAST phase-band : 28.57V,E,0.6355488,0.36445123,28.57,2.0
ZTF19accavuw_20191005_P200_v1.ascii,binnings/ZTF19accavuw_20191005_P200_v1,Ia-pec,0.043,Ia-pec/2013bh/HET-LRS phase-band : -2.0V,Sb,0.10226511,0.8977349,-2.0,2.0
ZTF19accavuw_20191016_P60_v2.ascii,binnings/ZTF19accavuw_20191016_P60_v2,IIn,0.04085,IIn/2008fq/WFCCD phase-band : 10.0B,Sc,0.976884,0.023115996,10.0,-1.4
ZTF19accavuw_20191023_P60_v1.ascii,binnings/ZTF19accavuw_20191023_P60_v1,IIn,0.04085,IIn/2008fq/WFCCD phase-band : 10.0B,SB1,0.9595257,0.04047431,10.0,-1.6
ZTF19acccgfn_20191005_P200_v1.ascii,binnings/ZTF19acccgfn_20191005_P200_v1,IIn,0.01661,IIn/2010jl/DEIMOS phase-band : 20.65V,SB5,0.6088127,0.39118734,20.65,-2.0
ZTF19accdehb_20191006_P60_v2.ascii,binnings/ZTF19accdehb_20191006_P60_v2,SLSN-IIn,0.02048975,SLSN-IIn/2006gy/LRIS phase-band : 78.53R,SB1,0.9378212,0.062178805,78.53,-1.0
ZTF19accedxz_20191005_P200_v1.ascii,binnings/ZTF19accedxz_20191005_P200_v1,IIn,0.03866,IIn/2010jl/KAST phase-band : 28.57V,Sb,0.5547724,0.4452276,28.57,-1.8
ZTF19acchjle_20191010_P60_v1.ascii,binnings/ZTF19acchjle_20191010_P60_v1,Ia 91T-like,0.072,Ia 91T-like/1991T/Other phase-band : -7.0B,SB1,0.9916032,0.008396783,-7.0,0.2
ZTF19acchtyp_20191021_P60_v2.ascii,binnings/ZTF19acchtyp_20191021_P60_v2,Ia-CSM,0.06,Ia-CSM/PTF11kx/DBSP phase-band : -1.0B,Sa,0.99587893,0.004121052,-1.0,0.2
ZTF19accibkt_20191005_P200_v1.ascii,binnings/ZTF19accibkt_20191005_P200_v1,Ia-norm,0.048363,Ia-norm/2013dy/HET-LRS phase-band : -5.74B,SB2,0.22272013,0.77727985,-5.74,2.0
ZTF19accjfgv_20191005_P200_v1.ascii,binnings/ZTF19accjfgv_20191005_P200_v1,II,0.02565,II/1999em/LRIS phase-band : 8.0B,Sc,0.09464269,0.9053573,8.0,2.0
ZTF19accjfgv_20191027_Keck1_v1.ascii,binnings/ZTF19accjfgv_20191027_Keck1_v1,II,0.026325,II/iPTF15crj/DBSP phase-band : u-,Sc,0.5316777,0.46832228,u,0.4
ZTF19acctjbv_20191219_P60_v1.ascii,binnings/ZTF19acctjbv_20191219_P60_v1,TDE H+He,0.027846,TDE H+He/2016fnl/DBSP phase-band : -1.04g,SB1,0.9522285,0.047771502,-1.04,-0.4
ZTF19acdigzw_20191021_P60_v1.ascii,binnings/ZTF19acdigzw_20191021_P60_v1,Ib,0.08,Ib/2008D/MMT-Blue phase-band : -12.57B,S0,0.8896489,0.110351086,-12.57,-2.0
ZTF19acdlafk_20191105_P200_v1.ascii,binnings/ZTF19acdlafk_20191105_P200_v1,SLSN-IIn,0.03585075,SLSN-IIn/PTF10tpz/KAST phase-band : u-,Sc,0.9353211,0.0646789,u,-1.6
ZTF19acdsqir_20191031_Lick_3-m_v1.ascii,binnings/ZTF19acdsqir_20191031_Lick_3-m_v1,Ia-norm,0.06435,Ia-norm/2015N/KAST phase-band : 5.39B,E,0.36271232,0.6372877,5.39,-1.8
ZTF19acdtmwh_20191019_P60_v1.ascii,binnings/ZTF19acdtmwh_20191019_P60_v1,IIn,0.07885,IIn/2008fq/LDSS-3 phase-band : -2.0B,SB1,0.86284757,0.13715242,-2.0,-1.0
ZTF19acdubmt_20191026_P60_v1.ascii,binnings/ZTF19acdubmt_20191026_P60_v1,Ia 99aa-like,0.0897,Ia 99aa-like/1999aa/KAST phase-band : 0.0B,Sc,0.98501253,0.014987493,0.0,1.0
ZTF19acduqvr_20191024_P60_v1.ascii,binnings/ZTF19acduqvr_20191024_P60_v1,Ia-norm,0.08715,Ia-norm/2011by/KAST phase-band : -10.76B,SB1,0.9985493,0.0014507291,-10.76,0.0
ZTF19aceckdq_20191019_LT_v1.ascii,binnings/ZTF19aceckdq_20191019_LT_v1,IIb-flash,0.025215,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.8697602,0.13023977,-7.0,-2.0
ZTF19aceckmm_20191024_P200_v1.ascii,binnings/ZTF19aceckmm_20191024_P200_v1,II,0.03286,II/1999em/LRIS phase-band : 8.0B,Sb,0.30684552,0.6931545,8.0,0.6
ZTF19aceidtc_20191022_P60_v2.ascii,binnings/ZTF19aceidtc_20191022_P60_v2,Ia 02es-like,0.0252,Ia 02es-like/PTF10ops/DBSP phase-band : 101.0g,S0,0.9589479,0.041052084,101.0,-0.8
ZTF19aceilrk_20191011_P60_v1.ascii,binnings/ZTF19aceilrk_20191011_P60_v1,SLSN-IIn,0.023166,SLSN-IIn/2006gy/LRIS phase-band : 142.39R,SB1,0.9411674,0.058832593,142.39,0.6
ZTF19acepeea_20191108_P60_v1.ascii,binnings/ZTF19acepeea_20191108_P60_v1,IIn,0.0228,IIn/2008fq/WFCCD phase-band : 10.0B,SB4,0.975524,0.024476007,10.0,-2.0
ZTF19aceqlxc_20191104_APO_v1.ascii,binnings/ZTF19aceqlxc_20191104_APO_v1,IIb-flash,0.0585,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.80605656,0.19394346,-7.0,-2.0
ZTF19aceqvhl_20191024_P200_v1.ascii,binnings/ZTF19aceqvhl_20191024_P200_v1,Ia-CSM,0.0287,Ia-CSM/2005gj/LRIS phase-band : 48.04g,SB6,0.5812311,0.4187689,48.04,-1.8
ZTF19aceqvhl_20200219_Keck1_v1.ascii,binnings/ZTF19aceqvhl_20200219_Keck1_v1,II,0.0273,II/2002hh/KAST phase-band : 3544.35V,Sc,0.10180327,0.89819676,3544.35,1.8
ZTF19acfduxa_20191024_P60_v1.ascii,binnings/ZTF19acfduxa_20191024_P60_v1,Ia 99aa-like,0.093,Ia 99aa-like/1999aa/DIS phase-band : -6.0B,Sb,0.9955359,0.0044641187,-6.0,-0.4
ZTF19acfthre_20191023_APO_v1.ascii,binnings/ZTF19acfthre_20191023_APO_v1,IIb-flash,0.04,IIb-flash/2013cu_early/DEIMOS phase-band : -7.0V,E,0.73666817,0.26333183,-7.0,-2.0
ZTF19acgaxei_20191028_P200_v1.ascii,binnings/ZTF19acgaxei_20191028_P200_v1,SLSN-IIn,0.0289575,SLSN-IIn/PTF10tpz/KAST phase-band : u-,SB2,0.8743738,0.12562622,u,1.8
