,Version,Resolution,Superfit_c,Superfit_z,Match,Gal,Frac(SN),Frac(gal),Phase,Av,ZTF_Name,Zooniverse_c_broad,agreement_broad,Zooniverse_c,rlap,agreement,z
6031,ZTF19achejoc_20191029_P60_v1.ascii,ZTF19achejoc_20191029_P60_v1_10,Ia-norm,0.0475,Ia-norm/2012ht/KAST+2456297.99,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB5,0.3703136,0.62968636,2.2991893,0.2,ZTF19achejoc,Ia,8,Ia-norm,15.08,8,0.0483
6032,ZTF19achetvw_20191028_P200_v2.ascii,ZTF19achetvw_20191028_P200_v2_10,SLSN-IIn,0.043,SLSN-IIn/PTF10tpz/KAST+2455442.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.78289133,0.21710865,55443.0,0.4,ZTF19achetvw,Ia,5,Ia-csm,6.01,5,0.0433
6033,ZTF19achiyvy_20191024_P200_v1.ascii,ZTF19achiyvy_20191024_P200_v1_10,IIn,0.0213045,IIn/ASASSN-15og/KAST+2457271.9859954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/SB3,0.7680022,0.23199776,21.485996,-0.6,ZTF19achiyvy,Ic,5,Gal,8.48,4,0.427
6034,ZTF19achiyvy_20200623_Keck1_v1.ascii,ZTF19achiyvy_20200623_Keck1_v1_10,Ia-norm,0.02079725,Ia-norm/2011fe/STIS+2455804.75,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sc,0.5855338,0.41446617,-10.606456,0.2,ZTF19achiyvy,II,4,II-norm,5.47,4,0.0514
6035,ZTF19achjpyc_20191024_P60_v1.ascii,ZTF19achjpyc_20191024_P60_v1_10,Ia 99aa-like,0.09975,Ia 99aa-like/1999aa/MARK-III+2451240.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.944321,0.055679053,8.0,1.4,ZTF19achjpyc,II,9,IIn,8.32,9,0.3312
6036,ZTF19achjpyc_20191024_P60_v2.ascii,ZTF19achjpyc_20191024_P60_v2_10,Ia 99aa-like,0.09975,Ia 99aa-like/1999aa/MARK-III+2451240.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.9890441,0.010955938,8.0,0.2,ZTF19achjpyc,Gal,2,Gal,8.9,2,0.3369
6037,ZTF19achjpyc_20191025_P60_v1.ascii,ZTF19achjpyc_20191025_P60_v1_10,Ia-norm,0.09025,Ia-norm/2011by/KAST+2455695.7459954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.99657226,0.003427719,5.2459955,1.6,ZTF19achjpyc,Ia,8,Ia-91T,7.92,6,0.0953
6038,ZTF19achjqbk_20191024_P60_v1.ascii,ZTF19achjqbk_20191024_P60_v1_10,Ibn,0.0475,Ibn/2005la/DEIMOS+2453709.1509954,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/E,0.7405575,0.25944254,-1.3490046,2.0,ZTF19achjqbk,II,6,IIn,5.07,5,0.3369
6039,ZTF19achjqbk_20191027_P60_v1.ascii,ZTF19achjqbk_20191027_P60_v1_10,Ia-rapid,0.0475,Ia-rapid/2002bj/LRIS+2452340.8120023,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/S0,0.5294637,0.4705363,6.312002,2.0,ZTF19achjqbk,Ic,6,Ic-SLSN,4.66,6,0.9516
6040,ZTF19achtewn_20191026_P60_v1.ascii,ZTF19achtewn_20191026_P60_v1_10,Ia 99aa-like,0.1,Ia 99aa-like/1999aa/MARK-III+2451240.5,/mnt/c/Users/20xha/Documents/Caltech/Research/superfit/bank/binnings/10A/gal/Sa,0.10096457,0.89903545,8.0,2.0,ZTF19achtewn,Ia,7,Ia-91T,5.09,7,0.1063
